iter	Passed	Remaining
0	0	919
1	1	885
2	2	827
3	3	767
4	3	746
5	4	779
6	5	776
7	6	759
8	6	743
9	7	748
10	8	747
11	8	737
12	9	730
13	10	724
14	10	716
15	11	708
16	12	703
17	12	701
18	13	696
19	14	691
20	14	684
21	15	682
22	16	680
23	16	677
24	17	674
25	18	675
26	18	682
27	19	686
28	20	686
29	21	681
30	21	677
31	22	674
32	22	671
33	23	672
34	24	669
35	24	665
36	25	663
37	26	661
38	26	657
39	27	654
40	27	651
41	28	649
42	29	647
43	29	648
44	30	648
45	31	646
46	31	644
47	32	647
48	33	647
49	34	646
50	34	644
51	35	642
52	35	639
53	36	639
54	37	638
55	37	637
56	38	635
57	38	633
58	39	631
59	40	629
60	40	626
61	41	624
62	41	622
63	42	621
64	43	620
65	43	619
66	44	617
67	44	615
68	45	613
69	46	611
70	46	610
71	47	610
72	47	608
73	48	607
74	49	605
75	49	604
76	50	604
77	50	602
78	51	600
79	52	599
80	52	598
81	53	597
82	53	592
83	54	591
84	54	589
85	55	589
86	56	589
87	56	588
88	57	587
89	57	586
90	58	584
91	59	583
92	59	582
93	60	580
94	60	579
95	61	579
96	62	579
97	63	580
98	63	579
99	64	578
100	64	577
101	65	576
102	65	574
103	66	573
104	67	572
105	67	571
106	68	570
107	69	571
108	69	571
109	70	570
110	71	569
111	71	569
112	72	568
113	73	568
114	73	568
115	74	567
116	74	564
117	75	566
118	76	565
119	77	565
120	77	566
121	78	564
122	79	563
123	79	563
124	80	564
125	81	563
126	81	562
127	82	562
128	83	561
129	83	560
130	84	558
131	84	557
132	85	555
133	85	554
134	86	553
135	86	552
136	87	550
137	88	549
138	88	549
139	89	548
140	89	547
141	90	545
142	90	545
143	91	544
144	92	543
145	92	543
146	93	542
147	94	542
148	94	542
149	95	542
150	96	541
151	96	540
152	97	539
153	97	538
154	98	536
155	99	535
156	99	534
157	100	533
158	100	532
159	101	531
160	101	529
161	102	528
162	102	527
163	103	526
164	103	525
165	104	524
166	104	523
167	105	522
168	106	522
169	106	521
170	107	521
171	108	520
172	109	524
173	110	524
174	111	524
175	111	523
176	112	522
177	112	521
178	113	520
179	114	519
180	114	518
181	115	517
182	115	516
183	116	515
184	116	514
185	117	513
186	117	511
187	118	510
188	118	509
189	119	509
190	120	509
191	120	508
192	121	508
193	122	508
194	123	507
195	123	507
196	124	506
197	124	505
198	125	504
199	125	503
200	126	502
201	127	502
202	127	501
203	128	500
204	128	499
205	129	498
206	129	497
207	130	496
208	130	495
209	131	494
210	131	493
211	132	492
212	132	491
213	133	491
214	134	490
215	135	490
216	135	489
217	136	488
218	136	487
219	137	486
220	137	485
221	138	484
222	138	483
223	139	482
224	139	481
225	140	480
226	141	480
227	141	479
228	142	478
229	142	477
230	143	476
231	143	475
232	144	474
233	144	473
234	145	472
235	145	471
236	146	471
237	147	470
238	147	469
239	148	470
240	149	469
241	149	469
242	150	468
243	150	467
244	151	466
245	152	466
246	152	465
247	153	464
248	153	464
249	154	463
250	154	462
251	155	461
252	155	460
253	156	459
254	157	458
255	157	457
256	158	456
257	158	455
258	159	454
259	159	454
260	160	453
261	160	452
262	161	451
263	161	450
264	162	450
265	163	449
266	163	449
267	164	448
268	164	447
269	165	447
270	166	446
271	166	446
272	167	445
273	167	444
274	168	443
275	168	442
276	169	441
277	169	440
278	170	439
279	170	438
280	171	438
281	171	437
282	172	436
283	172	435
284	173	435
285	174	434
286	174	433
287	175	432
288	175	431
289	176	430
290	176	430
291	177	430
292	178	429
293	178	429
294	179	428
295	179	427
296	180	427
297	181	426
298	181	425
299	182	425
300	182	424
301	183	423
302	183	422
303	184	422
304	184	421
305	185	420
306	186	420
307	186	419
308	187	419
309	187	418
310	188	417
311	188	416
312	189	415
313	190	415
314	190	414
315	191	414
316	192	414
317	193	414
318	193	413
319	194	412
320	194	411
321	195	411
322	195	410
323	196	409
324	196	408
325	197	408
326	197	407
327	198	406
328	199	406
329	199	405
330	200	404
331	200	403
332	201	403
333	201	402
334	202	401
335	202	400
336	203	399
337	204	399
338	204	398
339	205	398
340	205	397
341	206	397
342	207	396
343	207	395
344	208	395
345	208	394
346	209	393
347	209	392
348	210	391
349	210	391
350	211	390
351	211	389
352	212	388
353	212	388
354	213	387
355	213	386
356	214	385
357	214	384
358	215	384
359	215	383
360	216	382
361	216	382
362	217	381
363	217	380
364	218	379
365	218	379
366	219	378
367	219	377
368	220	377
369	221	376
370	221	375
371	222	375
372	222	374
373	223	373
374	223	372
375	224	372
376	224	371
377	225	370
378	225	370
379	226	369
380	226	368
381	227	367
382	227	367
383	228	366
384	228	365
385	229	364
386	229	364
387	230	363
388	231	363
389	231	362
390	232	361
391	232	361
392	233	360
393	233	359
394	234	359
395	235	358
396	235	358
397	236	357
398	236	356
399	237	356
400	237	355
401	238	354
402	238	353
403	239	353
404	239	352
405	240	351
406	240	350
407	241	350
408	241	349
409	242	348
410	243	348
411	243	347
412	244	347
413	244	346
414	245	345
415	245	345
416	246	344
417	246	343
418	247	343
419	247	342
420	248	341
421	249	341
422	249	340
423	250	340
424	250	339
425	251	338
426	251	338
427	252	337
428	252	336
429	253	335
430	253	335
431	254	334
432	254	333
433	255	333
434	255	332
435	256	331
436	256	331
437	257	330
438	257	329
439	258	328
440	258	328
441	259	327
442	259	326
443	260	326
444	260	325
445	261	324
446	262	324
447	262	323
448	262	322
449	263	322
450	264	321
451	265	321
452	265	320
453	266	320
454	266	319
455	267	318
456	267	318
457	268	317
458	268	316
459	269	316
460	269	315
461	270	315
462	271	314
463	271	313
464	272	313
465	272	312
466	273	311
467	273	311
468	274	310
469	274	309
470	275	309
471	275	308
472	276	307
473	276	307
474	277	306
475	277	305
476	278	305
477	279	304
478	279	304
479	280	303
480	280	303
481	281	302
482	281	301
483	282	301
484	283	300
485	283	299
486	284	299
487	284	298
488	285	298
489	285	297
490	286	296
491	286	296
492	287	295
493	287	294
494	288	294
495	288	293
496	289	292
497	290	292
498	290	291
499	291	291
500	291	290
501	292	290
502	293	289
503	293	288
504	294	288
505	294	287
506	295	287
507	295	286
508	296	285
509	296	285
510	297	284
511	297	284
512	298	283
513	299	282
514	299	282
515	300	281
516	300	281
517	301	280
518	301	279
519	302	279
520	303	278
521	303	278
522	304	277
523	304	276
524	305	276
525	305	275
526	306	274
527	306	274
528	307	273
529	308	273
530	308	272
531	309	272
532	309	271
533	310	271
534	311	270
535	311	269
536	312	269
537	312	268
538	313	268
539	314	267
540	314	267
541	315	266
542	315	265
543	316	265
544	316	264
545	317	263
546	317	263
547	318	262
548	318	262
549	319	261
550	320	260
551	320	260
552	321	259
553	321	259
554	322	258
555	323	258
556	323	257
557	324	256
558	324	256
559	325	255
560	326	255
561	326	254
562	327	253
563	327	253
564	328	252
565	328	252
566	329	251
567	330	251
568	330	250
569	331	249
570	331	249
571	332	248
572	332	247
573	333	247
574	333	246
575	334	245
576	334	245
577	335	244
578	335	244
579	336	243
580	337	243
581	337	242
582	338	242
583	338	241
584	339	240
585	340	240
586	340	239
587	341	239
588	341	238
589	342	237
590	343	237
591	343	236
592	344	236
593	344	235
594	345	235
595	345	234
596	346	233
597	347	233
598	347	232
599	348	232
600	348	231
601	349	230
602	349	230
603	350	229
604	351	229
605	352	229
606	352	228
607	353	228
608	354	227
609	354	226
610	355	226
611	356	225
612	356	225
613	357	224
614	357	223
615	358	223
616	358	222
617	359	221
618	359	221
619	360	220
620	360	220
621	361	219
622	361	218
623	362	218
624	363	217
625	363	217
626	364	216
627	364	215
628	365	215
629	365	214
630	366	214
631	367	213
632	367	213
633	368	212
634	369	212
635	369	211
636	370	210
637	370	210
638	371	209
639	371	209
640	372	208
641	372	207
642	373	207
643	373	206
644	374	206
645	374	205
646	375	204
647	375	204
648	376	203
649	376	202
650	377	202
651	377	201
652	378	201
653	378	200
654	379	199
655	380	199
656	381	198
657	381	198
658	382	197
659	382	197
660	383	196
661	384	196
662	384	195
663	385	194
664	385	194
665	386	193
666	386	192
667	387	192
668	387	191
669	388	191
670	388	190
671	389	190
672	389	189
673	390	188
674	390	188
675	391	187
676	391	187
677	392	186
678	392	185
679	393	185
680	394	184
681	395	184
682	395	183
683	396	183
684	396	182
685	397	181
686	397	181
687	398	180
688	398	180
689	399	179
690	399	178
691	400	178
692	401	177
693	401	177
694	402	176
695	402	175
696	403	175
697	403	174
698	404	174
699	404	173
700	405	172
701	405	172
702	406	171
703	407	171
704	407	170
705	408	170
706	409	169
707	410	169
708	410	168
709	411	168
710	411	167
711	412	166
712	413	166
713	413	165
714	414	165
715	415	164
716	415	164
717	416	163
718	416	162
719	417	162
720	418	161
721	418	161
722	419	160
723	420	160
724	421	159
725	421	159
726	422	158
727	423	158
728	423	157
729	424	156
730	425	156
731	425	155
732	426	155
733	426	154
734	427	154
735	428	153
736	428	152
737	429	152
738	429	151
739	430	151
740	430	150
741	431	149
742	431	149
743	432	148
744	432	148
745	433	147
746	434	147
747	434	146
748	435	145
749	436	145
750	436	144
751	437	144
752	438	143
753	438	143
754	439	142
755	440	142
756	440	141
757	441	140
758	442	140
759	443	139
760	443	139
761	444	138
762	445	138
763	446	137
764	447	137
765	447	136
766	448	136
767	449	135
768	449	135
769	450	134
770	451	133
771	451	133
772	452	132
773	453	132
774	453	131
775	454	131
776	455	130
777	455	129
778	456	129
779	456	128
780	457	128
781	457	127
782	458	127
783	459	126
784	460	125
785	460	125
786	461	124
787	462	124
788	462	123
789	463	123
790	464	122
791	464	122
792	465	121
793	466	120
794	466	120
795	467	119
796	468	119
797	469	118
798	469	118
799	470	117
800	470	116
801	471	116
802	471	115
803	472	115
804	473	114
805	473	113
806	474	113
807	475	112
808	475	112
809	476	111
810	476	111
811	477	110
812	477	109
813	478	109
814	478	108
815	479	108
816	479	107
817	480	106
818	480	106
819	481	105
820	482	105
821	482	104
822	483	103
823	483	103
824	484	102
825	485	102
826	485	101
827	486	101
828	486	100
829	487	99
830	488	99
831	488	98
832	489	98
833	489	97
834	490	96
835	491	96
836	491	95
837	492	95
838	492	94
839	493	93
840	494	93
841	494	92
842	495	92
843	495	91
844	496	91
845	497	90
846	497	89
847	498	89
848	498	88
849	499	88
850	500	87
851	500	86
852	501	86
853	501	85
854	502	85
855	502	84
856	503	83
857	503	83
858	504	82
859	504	82
860	505	81
861	505	80
862	506	80
863	506	79
864	507	79
865	507	78
866	508	77
867	508	77
868	509	76
